Logging started at 28-02-21 at 16:43:15
Timestamp, Longitude, Latitude, Altitude, Roll, Pitch, Yaw, Velocity, Groundspeed, Airspeed, Current, Voltage
16:43:15.398400, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.400065, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.401983, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.404030, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.405531, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.407326, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.408640, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.410304, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.412407, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.413646, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.415253, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.416762, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.418033, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.420015, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.421448, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.422757, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.424451, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.425609, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.427033, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.428390, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.429934, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.431222, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.442110, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.443727, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.445176, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.446893, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.448530, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.450484, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.452041, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.453827, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.455965, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.457153, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.458781, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.460169, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.461743, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.465037, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.529005, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.530866, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.533012, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.534714, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.543375, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.544978, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.546254, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.548034, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.565555, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.589589, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.595276, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.597071, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.599261, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.600682, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.602165, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.606282, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.607901, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.610532, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.611715, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.613721, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.615281, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.618923, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.620399, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.621899, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.623714, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.625037, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.626594, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.627736, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.628982, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.630445, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.631892, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.633355, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.634766, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.636327, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.639215, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.640671, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.642737, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.644654, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.646201, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.647388, 149.1652408, -35.3632641, -0.003, -0.0024165879003703594, -9.403744479641318e-05, 2.4988527297973633, [0.02, 0.02, 0.0], None, None, 0, 0
16:43:15.648679, 149.1652408, -35.3632641, -0.003, -0.0024165879003703594, -9.403744479641318e-05, 2.4988527297973633, [0.02, 0.02, 0.0], None, None, 0, 0
16:43:15.649865, 149.1652408, -35.3632641, -0.003, -0.0024165879003703594, -9.403744479641318e-05, 2.4988527297973633, [0.02, 0.02, 0.0], None, None, 0, 0
16:43:15.651414, 149.1652408, -35.3632641, -0.003, -0.0024165879003703594, -9.403744479641318e-05, 2.4988527297973633, [0.02, 0.02, 0.0], 0.03235023096203804, 0.0, 0, 0
16:43:15.652693, 149.1652408, -35.3632641, -0.003, -0.0024165879003703594, -9.403744479641318e-05, 2.4988527297973633, [0.02, 0.02, 0.0], 0.03235023096203804, 0.0, 0, 0
16:43:15.654002, 149.1652408, -35.3632641, -0.003, -0.0024165879003703594, -9.403744479641318e-05, 2.4988527297973633, [0.02, 0.02, 0.0], 0.03235023096203804, 0.0, 0, 0
16:43:15.655332, 149.1652408, -35.3632641, -0.003, -0.0024165879003703594, -9.403744479641318e-05, 2.4988527297973633, [0.02, 0.02, 0.0], 0.03235023096203804, 0.0, 0, 0
16:43:15.656569, 149.1652408, -35.3632641, -0.003, -0.0024165879003703594, -9.403744479641318e-05, 2.4988527297973633, [0.02, 0.02, 0.0], 0.03235023096203804, 0.0, 0, 0
16:43:15.657894, 149.1652408, -35.3632641, -0.003, -0.0024165879003703594, -9.403744479641318e-05, 2.4988527297973633, [0.02, 0.02, 0.0], 0.03235023096203804, 0.0, 0, 0
16:43:15.659047, 149.1652408, -35.3632641, -0.003, -0.0024165879003703594, -9.403744479641318e-05, 2.4988527297973633, [0.02, 0.02, 0.0], 0.03235023096203804, 0.0, 0, 0
16:43:15.660496, 149.1652408, -35.3632641, -0.003, -0.0024165879003703594, -9.403744479641318e-05, 2.4988527297973633, [0.02, 0.02, 0.0], 0.03235023096203804, 0.0, 0, 0
16:43:15.661738, 149.1652408, -35.3632641, -0.003, -0.0024165879003703594, -9.403744479641318e-05, 2.4988527297973633, [0.02, 0.02, 0.0], 0.03235023096203804, 0.0, 0, 0
16:43:15.663107, 149.1652408, -35.3632641, -0.003, -0.0024165879003703594, -9.403744479641318e-05, 2.4988527297973633, [0.02, 0.02, 0.0], 0.03235023096203804, 0.0, 0, 0
16:43:15.664486, 149.1652408, -35.3632641, -0.003, -0.0024165879003703594, -9.403744479641318e-05, 2.4988527297973633, [0.02, 0.02, 0.0], 0.03235023096203804, 0.0, 0, 0
16:43:15.666002, 149.1652408, -35.3632641, -0.003, -0.0024165879003703594, -9.403744479641318e-05, 2.4988527297973633, [0.02, 0.02, 0.0], 0.03235023096203804, 0.0, 0, 0
16:43:15.667135, 149.1652408, -35.3632641, -0.003, -0.0024165879003703594, -9.403744479641318e-05, 2.4988527297973633, [0.02, 0.02, 0.0], 0.03235023096203804, 0.0, 0, 0
16:43:15.668902, 149.1652408, -35.3632641, -0.003, -0.0024165879003703594, -9.403744479641318e-05, 2.4988527297973633, [0.02, 0.02, 0.0], 0.03235023096203804, 0.0, 0, 0
16:43:15.671932, 149.1652408, -35.3632641, -0.003, -0.0024165879003703594, -9.403744479641318e-05, 2.4988527297973633, [0.02, 0.02, 0.0], 0.03235023096203804, 0.0, 0, 0
16:43:15.673612, 149.1652408, -35.3632641, -0.003, -0.0024165879003703594, -9.403744479641318e-05, 2.4988527297973633, [0.02, 0.02, 0.0], 0.03235023096203804, 0.0, 0, 0
16:43:15.675896, 149.1652408, -35.3632641, -0.003, -0.0024165879003703594, -9.403744479641318e-05, 2.4988527297973633, [0.02, 0.02, 0.0], 0.03235023096203804, 0.0, 0, 0
16:43:15.677792, 149.1652408, -35.3632641, -0.003, -0.0024165879003703594, -9.403744479641318e-05, 2.4988527297973633, [0.02, 0.02, 0.0], 0.03235023096203804, 0.0, 0, 0
16:43:15.679670, 149.1652408, -35.3632641, -0.003, -0.0024165879003703594, -9.403744479641318e-05, 2.4988527297973633, [0.02, 0.02, 0.0], 0.03235023096203804, 0.0, 0, 0
16:43:15.681761, 149.1652408, -35.3632641, -0.003, -0.0024165879003703594, -9.403744479641318e-05, 2.4988527297973633, [0.02, 0.02, 0.0], 0.03235023096203804, 0.0, 0, 0
16:43:15.683711, 149.1652408, -35.3632641, -0.003, -0.0024165879003703594, -9.403744479641318e-05, 2.4988527297973633, [0.02, 0.02, 0.0], 0.03235023096203804, 0.0, 0, 0
16:43:15.685629, 149.1652408, -35.3632641, -0.003, -0.0024165879003703594, -9.403744479641318e-05, 2.4988527297973633, [0.02, 0.02, 0.0], 0.03235023096203804, 0.0, 0, 0
16:43:15.687718, 149.1652408, -35.3632641, -0.003, -0.0024165879003703594, -9.403744479641318e-05, 2.4988527297973633, [0.02, 0.02, 0.0], 0.03235023096203804, 0.0, 0, 0
16:43:15.689060, 149.1652408, -35.3632641, -0.003, -0.0024165879003703594, -9.403744479641318e-05, 2.4988527297973633, [0.02, 0.02, 0.0], 0.03235023096203804, 0.0, 0, 0
16:43:15.690335, 149.1652408, -35.3632641, -0.003, -0.0024165879003703594, -9.403744479641318e-05, 2.4988527297973633, [0.02, 0.02, 0.0], 0.03235023096203804, 0.0, 0, 0
16:43:15.692441, 149.1652408, -35.3632641, -0.003, -0.0024165879003703594, -9.403744479641318e-05, 2.4988527297973633, [0.02, 0.02, 0.0], 0.03235023096203804, 0.0, 0, 0
16:43:15.694381, 149.1652408, -35.3632641, -0.003, -0.0024165879003703594, -9.403744479641318e-05, 2.4988527297973633, [0.02, 0.02, 0.0], 0.03235023096203804, 0.0, 0, 0
16:43:15.696349, 149.1652408, -35.3632641, -0.003, -0.0024165879003703594, -9.403744479641318e-05, 2.4988527297973633, [0.02, 0.02, 0.0], 0.03235023096203804, 0.0, 0, 0
16:43:15.698283, 149.1652408, -35.3632641, -0.003, -0.0024165879003703594, -9.403744479641318e-05, 2.4988527297973633, [0.02, 0.02, 0.0], 0.03235023096203804, 0.0, 0, 0
